Time ,error_voltage,reference_voltage,input_voltage,output_voltage,reward,action,action_values
0.0002,15.17835613,48,100,32.82164387,31.82652342,1,"{'Kp': 1.0, 'Ki': 3.0, 'Kd': 7.0}"
0.0003,15.39530375,48,100,32.60469625,31.6096819,1,"{'Kp': 0.6917347657812953, 'Ki': 2.7117347657812956, 'Kd': 6.751734765781295}"
0.0004,15.40486841,48,100,32.59513159,31.60016755,1,"{'Kp': 0.3825552943981472, 'Ki': 2.4227552943981476, 'Kd': 6.503155294398147}"
0.0005,15.40377464,48,100,32.59622536,31.60125364,1,"{'Kp': 0.07037917184844367, 'Ki': 2.130981171848444, 'Kd': 6.252185171848444}"
0.0006,15.40368188,48,100,32.59631812,31.60128129,1,"{'Kp': -0.24492957282654115, 'Ki': 1.8362784471734592, 'Kd': 5.998694487173459}"
0.0007,15.40365526,48,100,32.59634474,31.60118971,0,"{'Kp': -0.5633916814216655, 'Ki': 1.5386284187783348, 'Kd': 5.742668619178335}"
0.0008,15.40364051,48,100,32.59635949,31.60104064,2,"{'Kp': -0.8850374952866806, 'Ki': 1.2380028059153196, 'Kd': 5.484083408319321}"
0.0009,15.40363334,48,100,32.59636666,31.60084787,1,"{'Kp': -1.2098982766429391, 'Ki': 0.9343724275710812, 'Kd': 5.2229138359991225}"
0.001,15.40362989,48,100,32.59637011,31.60062553,1,"{'Kp': -1.538005738135035, 'Ki': 0.6277076731211257, 'Kd': 4.959134495633448}"
0.0011,15.40362823,48,100,32.59637177,31.60038548,1,"{'Kp': -1.869392050785232, 'Ki': 0.3179784945834904, 'Kd': 4.692719585320936}"
0.0012,15.40362743,48,100,32.59637257,31.60013748,0,"{'Kp': -2.2040898260541404, 'Ki': 0.005154424768269106, 'Kd': 4.423642926413089}"
0.0013,15.40362704,48,100,32.59637296,31.59988926,0,"{'Kp': -2.5421320991118406, 'Ki': -0.310795405781207, 'Kd': 4.151877980880061}"
0.0014,15.40362686,48,100,32.59637314,31.59964662,0,"{'Kp': -2.883552312749911, 'Ki': -0.6299022524859713, 'Kd': 3.8773978680419097}"
0.0015,15.40362677,48,100,32.59637323,31.59941367,0,"{'Kp': -3.2283843021162433, 'Ki': -0.952197741249664, 'Kd': 3.6001753804834955}"
0.0016,15.40362672,48,100,32.59637328,31.59919308,0,"{'Kp': -3.576662281874343, 'Ki': -1.277713855399098, 'Kd': 3.320182997551393}"
0.0017,15.4036267,48,100,32.5963733,31.59898634,0,"{'Kp': -3.928420835473434, 'Ki': -1.6064829247334362, 'Kd': 3.0373928967465598}"
0.0018,15.40362669,48,100,32.59637331,31.59879413,0,"{'Kp': -4.2836949072556365, 'Ki': -1.9385376174082385, 'Kd': 2.7517769622865575}"
0.0019,15.40362669,48,100,32.59637331,31.59861646,0,"{'Kp': -4.642519797623505, 'Ki': -2.2739109348776334, 'Kd': 2.4633067906141104}"
0.002,15.40362669,48,100,32.59637331,31.59845294,1,"{'Kp': -5.004931160208528, 'Ki': -2.6126362088351973, 'Kd': 2.1719536939114636}"
0.0021,15.40362668,48,100,32.59637332,31.59830291,0,"{'Kp': -5.370965001251927, 'Ki': -2.9547471003648633, 'Kd': 1.8776887014092642}"
0.0022,15.40362668,48,100,32.59637332,31.59816551,1,"{'Kp': -5.7406576803969696, 'Ki': -3.300277600501035, 'Kd': 1.5804825592908338}"
0.0023,15.40362668,48,100,32.59637332,31.59803984,0,"{'Kp': -6.114045912325183, 'Ki': -3.6492620316302893, 'Kd': 1.2803057297594982}"
